"set_num","name","year","num_parts","theme"
"6530-1","Sport Coupe",1990,43,"Classic Town"
"6531-1","Flame Chaser",1991,56,"Classic Town"
"6532-1","Diesel Dumper",1991,47,"Classic Town"
"6533-1","Police 4x4",1992,62,"Classic Town"
"6534-1","Beach Bandit",1992,44,"Classic Town"
"6535-1","Dumper",1995,42,"Classic Town"
"6536-1","Aero Hawk",1993,48,"Classic Town"
"6537-1","Hydro Racer",1994,50,"Classic Town"
"6538-1","Rebel Roadster",1994,57,"Classic Town"
"6539-1","Victory Cup Racers",1993,459,"Classic Town"
"6540-1","Pier Police",1991,358,"Classic Town"
"6541-1","Intercoastal Seaport",1991,552,"Classic Town"
"6542-1","Launch & Load Seaport",1991,1078,"Classic Town"
"6543-1","Sail N' Fly Marina",1994,709,"Classic Town"
"6545-1","Search N' Rescue",1996,290,"Classic Town"
"6546-1","Slick Racer",1996,39,"Classic Town"
"65468-1","Toa Metru Twin Pack with Kanoka and Poster",2004,3,"Bionicle"
"6551-1","Checkered Flag 500",1992,192,"Classic Town"
"65514-1","Matoran / Vahki Co-Pack 1 (contains 8607 8611 8614 8616 8618)",2004,5,"Bionicle"
"65515-1","Matoran / Vahki Co-Pack 2 (contains 8610 8612 8615 8617 8619)",2004,5,"Bionicle"
"6552-1","Rocky River Retreat",1993,241,"Classic Town"
"65545-1","Ta-Metru Collector's Pack",2004,3,"Bionicle"
"65549-1","Bionicle Bonus Pack (8615 8617 8619 plus three Bionicle Comic books)",2004,3,"Bionicle"
"6561-1","Hot Rod Club",1994,240,"Classic Town"
"6562-1","Gas Stop Shop",1995,225,"Classic Town"
"6563-1","Gator Landing",1996,237,"Classic Town"
"6571-1","Flame Fighters",1994,433,"Classic Town"
"65716-1","Limited Edition Collector Pack with Vohtarak Sidorak and Life-Size Toa Hordika Mask (8742 8756)",2004,3,"Bionicle"
"65743-1","City Construction Value Pack (7246 7242 7248)",2005,0,"City"
"65757-1","Special Edition Guardian Toa (8762/8763)",2005,2,"Bionicle"
"65771-1","Episode III Collectors' Set",2005,5,"Star Wars"
"65777-1","City Fire Value Pack (7238 7239 7240 7241)",2005,0,"City"
"65799-1","City Fire Station Value Pack",2005,0,"City"
"65800-1","City Construction Set Value Pack",2005,0,"City"
"65808-1","Toa Hordika Value Pack",2005,4,"Bionicle"
"6581-1","Dig 'N' Dump",1996,128,"Classic Town"
"65813-1","Special Edition Co-Pack with Sidorak and Toa Iruini (8756 8762)",2005,2,"Bionicle"
"65844-1","Star Wars Co-Pack of 7255 4492 and 4494",2005,3,"Star Wars"
"65845-1","Star Wars Co-Pack of 7256 4492 and 4494",2005,3,"Star Wars"
"65849-1","Bionicle Co-Pack (contains 8758 and 851097)",2005,2,"Bionicle"
"6590-1","Vacation Camper",1988,116,"Classic Town"
"6591-1","Nitro Dragsters",1989,144,"Classic Town"
"6592-1","Vacation Hideaway",1990,116,"Classic Town"
"6593-1","Blaze Battler",1991,126,"Classic Town"
"6594-1","Gas Transit",1992,123,"Classic Town"
"6595-1","Surf Shack",1993,93,"Classic Town"
"6596-1","Wave Master",1995,133,"Classic Town"
"6597-1","Century Skyway",1994,905,"Classic Town"
"6598-1","Metro PD Station",1996,567,"Classic Town"
"6600-1","Police Patrol",1981,23,"Classic Town"
"6601-1","Ice Cream Cart",1985,30,"Classic Town"
"6602-1","Fire Chief's Car",1981,24,"Classic Town"
"6603-1","Shovel Truck",1985,27,"Classic Town"
"6604-1","Formula-I Racer",1985,31,"Classic Town"
"6605-1","Road Racer",1984,20,"Classic Town"
"6606-1","Road Repair Set",1983,25,"Classic Town"
"6607-1","Service Truck",1982,25,"Classic Town"
"6608-1","Tractor",1982,21,"Classic Town"
"6609-1","Race Car",1980,17,"Classic Town"
"6610-1","Gas Pumps",1981,28,"Classic Town"
"6611-1","Fire Chief's Car",1981,20,"Classic Town"
"6612-1","Fire Chief's Car",1986,29,"Classic Town"
"6613-1","Telephone Booth",1986,26,"Classic Town"
"66138-1","Toa Hordika Collection",2005,6,"Bionicle"
"6615-1","Eagle Stunt Flyer",1996,75,"Classic Town"
"66156-1","Airport Value Pack (TRU Exclusive)",2006,4,"City"
"66174-1","Lego Firemen Bundle",2006,0,"City"
"66188-1","Creative Building Set",2007,2,"Creator"
"66193-1","City Super Pack (7890 7892 7902 7903)",2007,0,"City"
"66194-1","City Super Pack (7246 7248 7905 7990)",2007,0,"City"
"66195-1","City Super Pack (7238 7239 7241 7942 7945)",2007,0,"City"
"6620-1","Ultimate Accessory Set 500",2006,507,"Bionicle"
"66207-1","Gift Set",2006,2,"Bionicle"
"66208-1","Mr. Magoriums big book (Mr. Magorium's Wonder Emporium)",2007,9,"Creator"
"6621-1","Fire Truck",1984,39,"Classic Town"
"6622-1","Mailman on Motorcycle",1984,30,"Classic Town"
"66221-1","X-wing Fighter and Luke Pilot Maquette Co-Pack (TRU Exclusive)",2007,1,"Star Wars"
"6623-1","Police Car",1983,40,"Classic Town"
"66237-1","Build & Play Value Pack",2008,2,"Creator"
"6624-1","Delivery Van",1983,40,"Classic Town"
"66246-1","City Super Pack (7235 7245 7743)",2008,3,"City"
"6625-1","Speed Trackers",1996,65,"Classic Town"
"66257-1","City Super Pack 4 in 1 (7235 7236 7741 7744)",2008,4,"City"
"66260-1","City Super Pack (7733 7734 7992)",2008,3,"City"
"6626-1","Rescue Helicopter",1981,36,"Classic Town"
"6627-1","Convertible",1980,37,"Classic Town"
"6628-1","Shell Tow Truck",1981,38,"Classic Town"
"6628-2","Construction Workers",1984,20,"Classic Town"
"66282-1","City Police Co-Pack",2008,2,"City"
"66284-1","LEGO Build and Play Value Pack",2009,2,"Creator"
"66290-1","City Super Pack 4 in 1 (4210 7736 7737 7738)",2008,4,"City"
"6629-1","Ambulance",1981,39,"Classic Town"
"6630-1","Bucket Loader",1981,34,"Classic Town"
"66305-1","City Super Pack 3 in 1 (7235 7245 7743)",2009,3,"City"
"66306-1","City Super Pack 3 in 1 (7736 7737 7738)",2009,3,"City"
"66308-1","Star Wars Super Pack 3 in 1 (7667 7668 8017)",2009,3,"Star Wars"
"6631-1","Steam Shovel",1985,48,"Classic Town"
"66311-1","LEGO Creative Value Pack (TRU Exclusive)",2010,2,"Creator"
"6632-1","Tactical Patrol Truck",1985,44,"Classic Town"
"6633-1","Family Car",1985,46,"Classic Town"
"66331-1","City Super Pack 3 in 1 (7630 7633 7990)",2009,3,"City"
"6634-1","Stock Car",1986,46,"Classic Town"
"66341-1","Star Wars Super Pack 3 in 1 (8014 8015 8091)",2010,3,"Star Wars"
"66342-1","City Super Pack 3 in 1 (7213 7241 7942)",2010,0,"City"
"66357-1","City Super Pack 4 in 1 (7208 7239 7241 7942)",2010,0,"City"
"66358-1","City Super Pack 3 in 1 (7634 7635 7684)",2010,3,"City"
"66359-1","Technic Super Pack 4 in 1 (8049 8259 8260 8293)",2010,4,"Technic"
"66360-1","City Super Pack 4 in 1 (7207 7213 7241 7942)",2010,0,"City"
"66363-1","City Super Pack 4 in 1 (7235 7236 7245 7741)",2010,4,"City"
"66364-1","Star Wars Super Pack 3 in 1 (7749 8083 8084)",2010,3,"Star Wars"
"66366-1","Star Wars Super Pack  3 in 1 (8089 8083 7749)",2010,3,"Star Wars"
"66368-1","Star Wars Super Pack 3 in 1 (8083 8084 8092)",2010,3,"Star Wars"
"6637-1","Ultimate Battle Set",2005,5,"Bionicle"
"66373-1","Fun Favor Pack",2010,0,"Creator"
"66375-1","City Super Pack 4 in 1 (7235 7286 7279 7741)",2011,4,"City"
"66377-1","Star Wars Super Pack 3 in 1 (7869 7913 7914)",2011,3,"Star Wars"
"66378-1","Star Wars Super Pack 3 in 1 (8085 7913 7914)",2011,3,"Star Wars"
"66380-1","LEGO Creative Value Pack (TRU UK Exclusive)",2011,2,"Creator"
"6638-1","Ultimate Creatures Accessory Set (Special Edition) 300+ Pieces",2006,287,"Bionicle"
"66388-1","City Super Pack 4 in 1 (7498 7235 7279 7285)",2011,4,"City"
"66389-1","City Super Pack 5 in 1 (7288 7279 7285 7286 7741)",2011,5,"City"
"6639-1","Raven Racer",1995,70,"Classic Town"
"66395-1","Star Wars Super Pack 3 in 1 (7957 7913 7914)",2011,3,"Star Wars"
"66396-1","Star Wars Super Pack 3 in 1 (7877 7929 7913)",2011,3,"Star Wars"
"66397-1","Technic Super Pack 4 in 1 (8047 8065 8067 8069)",2011,4,"Technic"
"6641-1","4-Wheelin' Truck",1987,81,"Classic Town"
"66411-1","Star Wars Super Pack 3 in 1 (9488 9489 9495)",2012,3,"Star Wars"
"66412-1","City Super Pack 2 in 1 (7285, 7741)",2012,2,"City"
"6642-1","Police Helicopter",1988,65,"Classic Town"
"66426-1","City Super Pack 3 in 1 (4208, 4209, 4427)",2012,3,"City"
"66427-1","City Super Pack 4 in 1 (4436, 4437, 4439, 4441)",2012,4,"City"
"66428-1","City Super Pack 4 in 1 (4436, 7235, 7279, 7498)",2012,4,"City"
"6643-1","Fire Truck",1988,74,"Classic Town"
"66431-1","Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",2012,3,"Star Wars"
"66432-1","Star Wars Super Pack 3 in 1 (9490, 9492, 9496)",2012,3,"Star Wars"
"66433-1","Technic Super Pack 3 in 1 (8293, 9392, 9395)",2012,3,"Technic"
"66436-1","City Super Pack 2 in 1 (4436, 4437)",2012,2,"City"
"6644-1","Road Rebel",1990,72,"Classic Town"
"66448-1","City Super Pack 3 in 1 (60000, 60001, 60002)",2013,3,"City"
"66449-1","Star Wars Super Pack 3 in 1 (75000, 75003, 75014)",2013,3,"Star Wars"
"6645-1","Street Sweeper",1991,65,"Classic Town"
"6646-1","Screaming Patriot",1991,65,"Classic Town"
"6647-1","Highway Repair",1980,54,"Classic Town"
"66479-1","Super Pack 3 in 1 (75015, 75035, 75043)",2014,3,"Star Wars"
"6648-1","Mag Racer",1992,61,"Classic Town"
"6648-2","Dump Truck",1980,42,"Classic Town"
"6649-1","Street Sweeper",1995,63,"Classic Town"
"66492-1","City Super Pack 3 in 1 (60041, 60042, 60046)",2014,3,"City"
"66493-1","City Super Pack 4 in 1 (60050, 60052, 7499, 7895)",2014,4,"City"
"66495-1","Star Wars Super Pack 3 in 1 (75037, 75038, 75045)",2014,3,"Star Wars"
"6650-1","Fire and Rescue Van",1981,46,"Classic Town"
"6651-1","Post Office Van",1982,46,"Classic Town"
"66512-1","Star Wars Super Pack 2 in 1 (75048, 75053)",2014,2,"Star Wars"
"66514-1","Star Wars Microfighters Super Pack 3 in 1 (75028, 75029, 75030)",2014,3,"Star Wars"
"66515-1","Star Wars Microfighters Super Pack 3 in 1 (75031, 75032, 75033)",2014,3,"Star Wars"
"6652-1","Construction Truck",1983,44,"Classic Town"
"6653-1","Highway Emergency Van",1982,56,"Classic Town"
"6654-1","Motorcycle Transport",1983,54,"Classic Town"
"6655-1","Auto & Tire Repair",1984,58,"Classic Town"
"6656-1","Tow Truck",1985,53,"Classic Town"
"6657-1","Fire Patrol Copter",1985,66,"Classic Town"
"6658-1","Bulldozer",1986,65,"Classic Town"
"6659-1","TV Camera Crew",1986,66,"Classic Town"
"6660-1","Hook & Haul Wrecker",1989,52,"Classic Town"
"6661-1","Mobile TV Studio",1989,80,"Classic Town"
"6662-1","Backhoe",1992,87,"Classic Town"
"6663-1","Wave Rebel",1993,78,"Classic Town"
"6664-1","Chopper Cops",1993,71,"Classic Town"
"6665-1","River Runners",1994,77,"Classic Town"
"6666-1","Ambulance",1994,78,"Classic Town"
"6667-1","Pothole Patcher",1993,97,"Classic Town"
"6668-1","Recycle Truck",1992,108,"Classic Town"
"6669-1","Diesel Daredevil",1991,90,"Classic Town"
"6670-1","Rescue Rig",1993,114,"Classic Town"
"6671-1","Utility Repair Lift",1989,107,"Classic Town"
"6672-1","Safari Off-Road Vehicle",1990,67,"Classic Town"
"6673-1","Solo Trainer",1990,74,"Classic Town"
"6674-1","Crane Truck",1988,94,"Classic Town"
"6675-1","Road & Trail 4x4",1988,81,"Classic Town"
"6676-1","Mobile Command Unit",1986,99,"Classic Town"
"6677-1","Motocross Racing",1986,75,"Classic Town"
"6678-1","Pneumatic Crane",1980,61,"Classic Town"
"6679-1","Dark Shark",1991,82,"Classic Town"
"6679-2","Exxon Tow Truck",1980,78,"Classic Town"
"6680-1","Ambulance",1981,63,"Classic Town"
"6681-1","Police Van",1981,81,"Classic Town"
"6682-1","Cement Mixer",1985,90,"Classic Town"
"6683-1","Burger Stand",1983,68,"Classic Town"
"6684-1","Police Patrol Squad",1984,81,"Classic Town"
"6685-1","Fire Copter 1",1982,98,"Classic Town"
"6686-1","Backhoe",1984,88,"Classic Town"
"6687-1","Turbo Prop I",1987,78,"Classic Town"
"6688-1","Ambulance",1985,72,"Classic Town"
"6689-1","Post-Station",1985,54,"Classic Town"
"6690-1","Snorkel Pumper",1980,103,"Classic Town"
"6691-1","Red Cross Helicopter",1981,107,"Classic Town"
"6692-1","Tractor Trailer",1983,97,"Classic Town"
"6693-1","Refuse Collection Truck",1987,114,"Classic Town"
"6694-1","Car with Camper",1984,109,"Classic Town"
"6695-1","Shell Tanker",1984,106,"Classic Town"
"6696-1","Exxon Fuel Tanker",1984,106,"Classic Town"
"6697-1","Rescue-I Helicopter",1985,85,"Classic Town"
"6698-1","RV with Speedboat",1986,129,"Classic Town"
"6699-1","Cycle Fix-It Shop",1987,81,"Classic Town"
"670-1","Mobile Crane",1978,55,"Classic Town"
"6701-1","Minifig Pack",1983,36,"Space"
"6702-1","Minifig Pack",1986,43,"Space"
"6703-1","Minifig Pack",1988,42,"Space"
"6704-1","Minifig Pack",1991,44,"Space"
"6705-1","Space Explorers",1994,39,"Space"
"6710-1","Space Landing Pads",1991,2,"Space"
"671-1","Shell Fuel Tanker",1978,73,"Classic Town"
"6711-1","Space Mini-Figs",1983,24,"Space"
"672-1","Fire Emergency Van",1978,65,"Classic Town"
"673-1","Rally Repair Crew",1978,60,"Classic Town"
"674-1","Forklift & Truck",1978,55,"Classic Town"
"6742-1","Mini Off-Roader",2009,64,"Creator"
"6750-1","Sonic Robot",1986,110,"Space"
"675-1","Snack Bar",1979,64,"Classic Town"
"6770-1","Lunar Transporter Patroller",1988,117,"Space"
"6780-1","XT Starship",1986,199,"Space"
"6781-1","SP-Striker",1989,230,"Space"
"6783-1","Sonar Transmitting Cruiser",1986,348,"Space"
"6800-1","Cyber Blaster",1997,20,"Space"
"6801-1","Moon Buggy",1981,22,"Space"
"6802-1","Space Probe",1986,26,"Space"
"6803-1","Space Patrol",1983,25,"Space"
"6804-1","Surface Rover",1984,21,"Space"
"6805-1","Astro Dasher",1985,29,"Space"
"6806-1","Surface Hopper",1985,23,"Space"
"6807-1","Space Sledge with Astronaut and Robot",1985,24,"Space"
"6808-1","Galaxy Trekkor",1987,29,"Space"
"6809-1","XT-5 and Droid",1988,37,"Space"
"6810-1","Laser Ranger",1989,41,"Space"
"6811-1","Pulsar Charger",1990,26,"Space"
"6812-1","Grid Trekkor",1991,25,"Space"
"6813-1","Galactic Chief",1993,24,"Space"
"6814-1","Ice Tunnelator",1993,25,"Space"
"6815-1","Hovertron",1996,27,"Space"
"6816-1","Cyber Blaster",1997,20,"Space"
"6817-1","Beta Buzzer",1998,32,"Space"
"6818-1","Cyborg Scout",1997,36,"Space"
"6820-1","Starfire I",1986,34,"Space"
"6821-1","Shovel Buggy",1980,28,"Space"
"6822-1","Space Digger",1981,33,"Space"
"6823-1","Surface Transport",1983,27,"Space"
"6824-1","Space Dart I",1984,48,"Space"
"6825-1","Cosmic Comet",1985,40,"Space"
"6826-1","Crater Crawler",1985,32,"Space"
"6827-1","Strata Scooter",1987,35,"Space"
"6828-1","Twin-Winged Spoiler",1988,57,"Space"
"6829-1","Radon Rover",1997,53,"Space"
"6830-1","Space Patroller",1988,51,"Space"
"6831-1","Message Decoder",1989,34,"Space"
"6832-1","Super Nova II",1991,42,"Space"
"6833-1","Beacon Tracer",1990,40,"Space"
"6834-1","Celestial Sled",1993,55,"Space"
"6835-1","Saucer Scout",1994,47,"Space"
"6836-1","V-Wing Fighter",1997,40,"Space"
"6837-1","Cosmic Creeper",1998,57,"Space"
"6841-1","Mineral Detector",1980,44,"Space"
"6842-1","Shuttle Craft",1981,46,"Space"
"6844-1","Seismologic Vehicle (Sismobile)",1983,46,"Space"
"6845-1","Cosmic Charger",1986,51,"Space"
"6846-1","Tri-Star Voyager",1984,69,"Space"
"6847-1","Space Dozer",1985,49,"Space"
"6848-1","Strategic Pursuer",1988,62,"Space"
"6848-2","Interplanetary Shuttle",1985,54,"Space"
"6848-3","Strategic Pursuer",1988,62,"Space"
"6849-1","Satellite Patroller",1987,47,"Space"
"6850-1","Auxiliary Patroller",1989,46,"Space"
"6851-1","Tri-Wheeled Tyrax",1991,38,"Space"
"6852-1","Sonar Security",1993,61,"Space"
"6854-1","Alien Fossilizer",1996,51,"Space"
"6856-1","Planetary Decoder",1996,78,"Space"
"6861-1","X1 Patrol Craft",1980,55,"Space"
"6861-2","Super Model Building Instruction",1993,1,"Space"
"6862-1","Secret Space Voyager",1991,254,"Space"
"6870-1","Space Probe Launcher",1981,60,"Space"
"6871-1","Star Patrol Launcher",1984,71,"Space"
"6872-1","Xenon X-Craft",1986,76,"Space"
"6874-1","Moon Rover",1986,66,"Space"
"6875-1","Hovercraft",1988,93,"Space"
"6876-1","Alienator",1988,92,"Space"
"6877-1","Vector Detector",1990,62,"Space"
"6878-1","Sub Orbital Guardian",1991,75,"Space"
"6879-1","Blizzard Baron",1993,83,"Space"
"6880-1","Surface Explorer",1982,83,"Space"
"6881-1","Lunar Rocket Launcher",1984,98,"Space"
"6882-1","Walking Astro Grappler",1985,102,"Space"
"6883-1","Terrestrial Rover",1987,109,"Space"
"6884-1","Aero Module",1987,107,"Space"
"6885-1","Saturn Base Main Team (Crater Crawler)",1988,101,"Space"
"6886-1","Galactic Peace Keeper",1989,121,"Space"
"6887-1","Allied Avenger",1991,100,"Space"
"6889-1","Recon Robot",1994,136,"Space"
"6890-1","Cosmic Cruiser",1982,115,"Space"
"6891-1","Gamma V Laser Craft",1985,135,"Space"
"6892-1","Modular Space Transport",1986,150,"Space"
"6893-1","Orion II Hyperspace",1987,162,"Space"
"6894-1","Invader",1987,159,"Space"
"6895-1","Spy-Trak 1",1989,152,"Space"
"6896-1","Celestial Forager",1990,92,"Space"
"6897-1","Rebel Hunter",1992,146,"Space"
"6898-1","Ice-Sat V",1993,136,"Space"
"6899-1","Nebula Outpost",1996,156,"Space"
"6900-1","Cyber Saucer",1997,112,"Space"
"6901-1","Mobile Lab",1980,139,"Space"
"6901-2","Space Plane",1998,20,"Space"
"6902-1","Space Plane",1998,20,"Space"
"6903-1","Bug Blaster",1998,24,"Space"
"6905-1","Bi-Wing Blaster",1998,112,"Space"
"6907-1","Sonic Stinger",1998,95,"Space"
"6909-1","Sonic Stinger with Promotional Mask",1998,96,"Space"
"6910-1","Mini Sports Car",2012,70,"Creator"
"6911-1","Mini Fire Truck",2012,69,"Creator"
"6912-1","Super Soarer",2012,130,"Creator"
"6913-1","Blue Roadster",2012,152,"Creator"
"6914-1","T-Rex",2012,191,"Creator"
"6915-1","Warp Wing Fighter",1997,234,"Space"
"6919-1","Planetary Prowler",1998,248,"Space"
"6921-1","Monorail Accessory Track",1988,46,"Space"
"6923-1","Particle Ionizer",1990,192,"Space"
"6925-1","Interplanetary Rover",1988,211,"Space"
"6926-1","Mobile Recovery Vehicle",1986,150,"Space"
"6927-1","All-Terrain Vehicle",1981,173,"Space"
"6928-1","Uranium Search Vehicle",1984,201,"Space"
"6929-1","Star Fleet Voyager",1981,246,"Space"
"6930-1","Space Supply Station",1983,206,"Space"
"6931-1","FX Star Patroller",1985,227,"Space"
"6932-1","Stardefender 200",1987,251,"Space"
"6933-1","Spectral Starguider",1991,212,"Space"
"6934-1","BIONICLE Good Guy Polybag (Disney Promotional Sweden)",2006,16,"Bionicle"
"6935-1","BIONICLE Bad Guy (Disney Promotional Sweden)",2006,16,"Bionicle"
"6936-1","Piraka & Catapult",2007,20,"Bionicle"
"6937-1","Give Away",2006,2,"Bionicle"
"6938-1","Scorpion Detector",1996,196,"Space"
"6939-1","Saucer Centurion",1994,222,"Space"
"6940-1","Alien Moon Stalker",1986,268,"Space"
"6941-1","Battrax",1987,284,"Space"
"6942-1","Zo Weevil",1999,20,"Space"
"6943-1","Zo Weevil",1999,20,"Space"
"6944-1","Good Guy 07",2007,20,"Bionicle"
"6945-1","Bad Guy",2007,25,"Bionicle"
"6946-1","Squid Launcher Function",2007,23,"Bionicle"
"6949-1","Robo-Guardian",1994,366,"Space"
"6950-1","Mobile Rocket Transport",1982,210,"Space"
"6951-1","Robot Command Center",1984,295,"Space"
"6952-1","Solar Power Transporter",1985,305,"Space"
"6953-1","Cosmic Laser Launcher",1987,211,"Space"
"6954-1","Renegade",1987,315,"Space"
"6955-1","Space Lock-Up Isolation Base",1989,253,"Space"
"6956-1","Stellar Recon Voyager",1990,233,"Space"
"6957-1","Solar Snooper",1992,253,"Space"
"6958-1","Android Base",1996,268,"Space"
"6959-1","Lunar Launch Site",1994,287,"Space"
"6963-1","X-wing Fighter - Mini (Kabaya Box)",2004,41,"Star Wars"
"6963-2","X-wing Fighter - Mini (Polybag)",2004,41,"Star Wars"
"6964-1","Boba Fett's Slave I - Mini (Kabaya Box)",2004,25,"Star Wars"
"6964-2","Boba Fett's Slave I - Mini (Polybag)",2004,25,"Star Wars"
"6965-1","TIE Interceptor - Mini (Kabaya Box)",2004,32,"Star Wars"
"6966-1","Jedi Starfighter - Mini",2005,38,"Star Wars"
"6966-2","Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries",2005,38,"Star Wars"
"6967-1","ARC-170 Starfighter - Mini",2005,42,"Star Wars"
"6967-2","ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries",2005,42,"Star Wars"
"6968-1","Mini Wookiee Attack",2005,48,"Star Wars"
"6969-1","Celestial Stinger",1998,253,"Space"
"6970-1","Beta I Command Base",1980,270,"Space"
"6971-1","Inter-Galactic Command Base",1984,329,"Space"
"6972-1","Polaris I Space Lab",1987,390,"Space"
"6973-1","Deep Freeze Defender",1993,417,"Space"
"6975-1","Alien Avenger",1997,370,"Space"
"6977-1","Arachnoid Star Base",1998,434,"Space"
"6979-1","Interstellar Starfighter",1997,291,"Space"
"6980-1","Galaxy Commander",1983,443,"Space"
"6981-1","Aerial Intruder",1991,267,"Space"
"6982-1","Explorien Starship",1996,658,"Space"
"6983-1","Ice Station Odyssey",1993,345,"Space"
"6984-1","Galactic Mediator",1992,406,"Space"
"6985-1","Cosmic Fleet Voyager",1986,413,"Space"
"6986-1","Mission Commander",1989,478,"Space"
"6987-1","Message Intercept Base",1988,577,"Space"
"6987-2","Message Intercept Base",1988,575,"Space"
"6988-1","Alpha Centauri Outpost",1991,406,"Space"
"6989-1","Mega Core Magnetizer",1990,509,"Space"
"6990-1","Monorail Transport System",1988,731,"Space"
"6991-1","Monorail Transport Base",1994,571,"Space"
"6999-1","Cyber Saucer",1997,113,"Space"
"700-1","10 x 20 Brickplate",1966,6,"Classic"
"700.1.1-1","Individual 2 x 4 Bricks",1950,10,"Classic"
"700.1-2","Gift Package",1957,0,"Classic"
"700.1.2-1","Individual 2 x 2 Bricks",1950,9,"Classic"
"700.1.4-1","Individual 1 x 2 Bricks",1953,1,"Classic"
"700.16-1","Individual 2 x 8 Bricks",1954,5,"Classic"
"700.20-1","Individual 2 x 10 Bricks",1954,5,"Classic"
"700.2-2","Gift Package",1957,0,"Classic"
"700.24-1","Individual 2 x 12 Bricks",1954,5,"Classic"
"700.28-1","Individual 2 x 14 Bricks",1954,5,"Classic"
"700.3.4-1","Individual 2 x 3 Bricks",1953,5,"Classic"
"700.3A-2","Gift Package",1957,0,"Classic"
"700.A-1","Automatic Binding Bricks Small Brick Set (Lego Mursten)",1950,24,"Classic"
"700.B-1","Early LEGO Windows/Doors (without Glass)",1953,12,"Classic"
"700.B.1-1","Individual 1 x 4 x 2 Window (without glass)",1950,7,"Classic"
"700.B.2-1","Individual 1 x 2 x 3 Window (without glass)",1950,7,"Classic"
"700.B.3-1","Individual 1 x 2 x 2 Window (without glass)",1950,7,"Classic"
"700.B.4-1","Individual 1 x 2 x 4 Door (without glass)",1950,7,"Classic"
"700.C-1","Tall Classic Windows/Door (with Glass)",1954,24,"Classic"
"700.C.1-1","Individual 1 x 6 x 4 Panorama Window (with glass)",1954,4,"Classic"
"700.C.2-1","Individual 1 x 6 x 3 3-Pane Window (with glass)",1954,4,"Classic"
"700.C.3-1","Individual 1 x 6 x 3 Shutter Window (with glass)",1954,4,"Classic"
"700.C.4-1","Individual 1 x 4 x 3 Window (with glass)",1954,4,"Classic"
"700.C.5-1","Individual 1 x 3 x 3 Window (with glass)",1954,4,"Classic"
"700.C.6-1","Individual 1 x 2 x 4 Door (with glass)",1954,4,"Classic"
"700.F-1","Automatic Binding Bricks - Small Brick Set (Lego Mursten)",1953,48,"Classic"
"700GP0-1","Gift Package",1957,244,"Classic"
"700GP5-1","Gift Package (Lego Mursten)",1954,54,"Classic"
"700GP6-1","Gift Package (Lego Mursten)",1954,46,"Classic"
"700GP6-2","Gift Package",1957,46,"Classic"
"700.H-1","Individual 4 x 4 Corner Bricks",1954,5,"Classic"
"7049-1","Alien Striker",2011,42,"Space"
"7050-1","Alien Defender",2011,104,"Space"
"7051-1","Tripod Invader",2011,165,"Space"
"7052-1","UFO Abduction",2011,210,"Space"
"7065-1","Alien Mothership",2011,415,"Space"
"7066-1","Earth Defense HQ",2011,877,"Space"
"7067-1","Jet-Copter Encounter",2011,373,"Space"
"70700-1","Space Swarmer",2013,86,"Space"
"70701-1","Swarm Interceptor",2013,217,"Space"
"70702-1","Warp Stinger",2013,307,"Space"
"70703-1","Star Slicer",2013,311,"Space"
"70704-1","Vermin Vaporizer",2013,504,"Space"
"70705-1","Bug Obliterator",2013,709,"Space"
"70706-1","Crater Creeper",2013,172,"Space"
"70707-1","CLS-89 Eradicator Mech",2013,439,"Space"
"70708-1","Hive Crawler",2013,558,"Space"
"70709-1","Galactic Titan",2013,1010,"Space"
"70778-1","Protector of Jungle",2015,70,"Bionicle"
"70779-1","Protector of Stone",2015,73,"Bionicle"
"70780-1","Protector of Water",2015,71,"Bionicle"
"70781-1","Protector of Earth",2015,66,"Bionicle"
"70782-1","Protector of Ice",2015,68,"Bionicle"
"70783-1","Protector of Fire",2015,69,"Bionicle"
"70784-1","Lewa - Master of Jungle",2015,85,"Bionicle"
"70785-1","Pohatu - Master of Stone",2015,66,"Bionicle"
"70786-1","Gali - Master of Water",2015,87,"Bionicle"
"70787-1","Tahu - Master of Fire",2015,89,"Bionicle"
"70788-1","Kopaka - Master of Ice",2015,96,"Bionicle"
"70789-1","Onua - Master of Earth",2015,107,"Bionicle"
"70790-1","Lord of Skull Spiders",2015,145,"Bionicle"
"70791-1","Skull Warrior",2015,99,"Bionicle"
"70792-1","Skull Slicer",2015,71,"Bionicle"
"70793-1","Skull Basher",2015,72,"Bionicle"
"70794-1","Skull Scorpio",2015,107,"Bionicle"
"70795-1","Mask Maker vs. Skull Grinder",2015,165,"Bionicle"
"7101-1","Lightsaber Duel",1999,52,"Star Wars"
"710-2","Lockable Storage Case",1966,1,"Classic"
"710-3","Universal Building Set",1983,364,"Universal Building Set"
"7103-1","Jedi Duel",2002,82,"Star Wars"
"7104-1","Desert Skiff",2000,55,"Star Wars"
"7106-1","Droid Escape",2001,45,"Star Wars"
"7110-1","Landspeeder",1999,49,"Star Wars"
"7111-1","Droid Fighter",1999,62,"Star Wars"
"7113-1","Tusken Raider Encounter",2002,93,"Star Wars"
"7115-1","Gungan Patrol",2000,79,"Star Wars"
